resourceId	name	rating	nation	league
1000500	Carlos Bianchi	77	52	353
1000501	Josep Gombau Balague	66	45	53
1000503	Graham Arnold	66	195	351
1000504	Ange Postecoglou	65	195	351
1000505	Gary van Egmond	65	195	351
1000506	Alistair Edwards	65	195	351
1000507	Frank Farina	65	195	351
1000508	Ernie Merrick	65	42	50
1000509	John Aloisi	66	195	351
1000510	Tony Popovic	67	195	351
1000512	Darko Milanic	69	44	13
1000517	Heimo Pfeifenberger	63	4	80
1000521	John van den Brom	75	34	10
1000522	Juan Carlos Garrido	75	45	53
1000523	Guy Luzon	75	26	13
1000524	Stanley Menzo	68	34	10
1000525	Felice Mazzu	69	7	4
1000526	Mario Been	75	34	10
1000527	Victor Fernandez	73	45	53
1000528	Frederik Vanderbiest	65	7	4
1000529	Vincenzo Scifo	69	7	4
1000530	Lorenzo Staelens	69	7	4
1000531	Peter Maes	72	7	4
1000532	Francky Dury	72	7	4
1000533	Hein Vanhaezebrouck	69	7	4
1000534	Ronny Van Geneugden	69	7	4
1000535	Harm Van Veldhoven	70	7	4
1000536	Giovanni Trapattoni	82	27	31
1000538	Chris Coleman	82	50	13
1000543	Marco Antonio Figueroa	72	55	335
1000545	Martin Lasarte	68	60	13
1000551	Jorge Pellicer	68	55	335
1000561	Juan Carlos Osorio	74	56	336
1000563	Leonel Alvarez	71	56	336
1000566	Hernan Torres	67	56	336
1000567	Carlos Bustos	74	52	353
1000573	Giannis Anastasiou	73	22	63
1000575	Roger Schmidt	73	21	19
1000577	Francisco José Rodrigues da Costa	73	38	308
1000579	Pedro Miguel Faria Caixinha	73	38	308
1000583	Kent Nielsen	68	13	1
1000586	Lars Sondergaard	64	13	1
1000587	Yuri Krasnozhan	72	40	67
1000588	Miodrag Božović	72	15	13
1000589	Kasper Hjulmand	69	13	1
1000591	Arsene Wenger	84	18	16
1000592	Paul Lambert	78	42	50
1000593	Jose Mario dos Santos Mourinho	86	38	308
1000594	Roberto Martinez	81	45	53
1000595	Brendan Rodgers	83	35	13
1000596	Manuel Pellegrini	87	55	335
1000597	David Moyes	86	42	50
1000598	Alan Pardew	81	14	13
1000599	Mauricio Pochettino	78	52	353
1000600	Luis Andre Villas-Boas	84	38	308
1000601	Sam Allardyce	78	14	13
1000602	Paolo Di Canio	79	27	31
1000603	Steve Clarke	79	42	50
1000604	Martin Jol	81	34	10
1000605	Chris Hughton	78	25	65
1000606	Ian Holloway	74	14	13
1000607	Mark Hughes	79	50	13
1000608	Steve Bruce	75	14	13
1000609	Michael Laudrup	80	13	1
1000610	Malky Mackay	75	42	50
1000612	Huub Stevens	76	34	10
1000614	Frank de Boer	79	34	10
1000615	Ronald Koeman	76	34	10
1000616	Phillip Cocu	78	34	10
1000618	Maurice Steijn	70	34	10
1000619	Ruud Brood	71	34	10
1000620	Jan Wouters	72	34	10
1000621	Nebojsa Gudelj	70	51	13
1000622	Erwin Koeman	69	34	10
1000623	Gertjan Verbeek	74	34	10
1000624	Michel Jansen	75	34	10
1000625	Peter Bosz	75	34	10
1000627	Marco van Basten	72	34	10
1000628	Ron Jans	70	34	10
1000629	Zoran Barisic	70	4	80
1000630	Foeke Booy	66	34	10
1000631	Jan de Jonge	70	34	10
1000632	Roy Hodgson	85	14	13
1000633	Marcel Koller	78	47	189
1000634	Morten Olsen	78	13	1
1000635	Joachim Low	88	21	19
