set	band	rareflag	baseId	pos	rating	pac	sho	pas	dri	def	phy
toty	1	5	158023	CF	98	97	96	92	99	52	77
toty	1	5	20801	LW	98	98	97	87	98	54	92
toty	1	5	156616	LM	96	96	89	91	98	54	62
toty	1	5	41236	ST	96	82	98	88	94	58	87
toty	1	5	41	CM	95	80	80	97	97	71	61
toty	1	5	10535	CM	95	72	80	97	93	74	60
toty	1	5	167495	GK	94	95	89	96	94	61	89
toty	1	5	164240	CB	94	87	68	81	79	95	91
toty	1	5	121939	RB	94	85	64	92	88	92	75
toty	1	5	155862	CB	93	86	68	81	79	92	94
toty	1	5	146530	RB	91	95	78	88	91	86	80
motm	2	8	20801	LW	95	95	95	83	94	51	90
motm	2	8	41236	ST	93	80	96	86	91	57	84
motm	2	8	7826	ST	91	78	93	84	88	51	75
motm	2	8	183898	CM	91	92	87	90	91	62	70
motm	2	8	173731	LW	90	95	92	86	90	77	79
motm	2	8	179813	ST	88	84	88	69	82	57	86
motm	2	8	155862	CB	87	81	65	77	75	87	90
motm	2	8	139869	CAM	87	75	88	91	88	64	57
motm	2	8	165239	RM	86	83	83	85	89	54	63
motm	2	8	186561	CM	85	75	87	89	85	76	70
motm	3	8	186561	CDM	84	74	86	88	86	74	69
motm	2	8	183907	CB	84	76	53	76	70	86	84
motm	2	8	188567	ST	84	96	82	82	82	58	83
motm	2	8	181783	ST	84	78	81	64	79	55	89
motm	2	8	193747	LM	83	77	79	89	85	63	66
motm	2	8	184144	LM	83	85	81	82	89	50	60
motm	2	8	177134	ST	82	79	83	67	79	50	82
motm	2	8	148711	CB	81	40	56	65	61	85	85
motm	2	8	198329	ST	80	87	81	63	81	47	74
motm	2	8	182629	GK	80	82	79	76	84	47	81
motm	3	8	198329	ST	79	86	78	61	79	46	73
motm	2	8	173818	ST	79	86	76	65	88	46	74
motm	2	8	198219	LW	78	90	77	75	88	50	52
motm	2	8	176733	ST	74	73	83	62	75	46	73
motm	2	8	110376	ST	74	71	81	72	79	45	73
motm	2	8	200454	ST	73	71	79	60	76	41	69
motm	2	8	164959	CM	73	78	67	72	73	79	79
motm	2	8	182528	ST	73	79	74	65	73	44	66
motm	2	8	179565	ST	72	79	67	62	77	50	73
motm	2	8	188274	ST	72	80	73	64	74	42	78
motm	2	8	210209	ST	71	80	68	44	62	41	78
motm	2	8	188161	ST	70	83	70	56	70	45	67
motm	2	8	156681	LW	70	82	70	59	67	44	55
motm	2	8	184635	LW	70	74	69	60	72	44	63
motm	2	8	188920	GK	64	70	58	64	75	31	63
motm	2	8	209711	CB	64	67	40	58	40	67	64
motm	2	8	4999	GK	63	66	64	48	72	31	63
imotm	4	7	158023	CF	98	97	96	92	99	52	77
