week	formation	idx	starter	slot	name	rating
1	f343	0	1	GK	Sven Ulreich	80
1	f343	1	1	RCB	Hugo Campagnaro	83
1	f343	2	1	CB	Ezequiel Garay	83
1	f343	3	1	LCB	Aymen Abdennour	80
1	f343	4	1	RM	Pierre-Emerick Aubameyang	81
1	f343	5	1	RCM	Aaron Ramsey	79
1	f343	6	1	LCM	Blaise Matuidi	82
1	f343	7	1	LM	Marco Reus	86
1	f343	8	1	RW	Mounir El Hamdaoui	74
1	f343	9	1	ST	Jo	80
1	f343	10	1	LW	Konstantinos Mitroglou	78
1	f343	11	0	GK	Jussi Jaaskelainen	74
1	f343	12	0	CB	Lorenzo Tonelli	64
1	f343	13	0	LM	Gylfi Sigurdsson	78
1	f343	14	0	CM	Craig Bryson	73
1	f343	15	0	CAM	Dani Quintana	70
1	f343	16	0	ST	Ilombe Mboyo	74
1	f343	17	0	ST	Andriy Voronin	77
2	f343	0	1	GK	Brad Guzan	80
2	f343	1	1	RCB	Leighton Baines	84
2	f343	2	1	CB	Dejan Lovren	80
2	f343	3	1	LCB	David Alaba	82
2	f343	4	1	RM	Pedro	86
2	f343	5	1	RCM	Thiago Neves	79
2	f343	6	1	LCM	Isco	85
2	f343	7	1	LM	Koke	82
2	f343	8	1	RW	Sergio Aguero	89
2	f343	9	1	ST	Diego Milito	83
2	f343	10	1	LW	Foued Kadir	74
2	f343	11	0	GK	Robert Green	78
2	f343	12	0	LB	Dmitriy Kombarov	78
2	f343	13	0	RM	Acoran	72
2	f343	14	0	LM	Lucas Piazon	74
2	f343	15	0	RW	Robbie Kruse	74
2	f343	16	0	ST	Frode Johnsen	64
2	f343	17	0	LW	Jesse Lingard	64
3	f343	0	1	GK	Diego Alves	82
3	f343	1	1	RCB	Marquinhos	80
3	f343	2	1	CB	Miranda	82
3	f343	3	1	LCB	Steven Caulker	74
3	f343	4	1	RM	Hulk	85
3	f343	5	1	RCM	Mathieu Valbuena	83
3	f343	6	1	LCM	Goran Pandev	80
3	f343	7	1	LM	Ivan Rakitic	82
3	f343	8	1	RW	Romelu Lukaku	79
3	f343	9	1	ST	Robert Lewandowski	87
3	f343	10	1	LW	Graziano Pelle	80
3	f343	11	0	GK	Dida	77
3	f343	12	0	RB	Cedric	74
3	f343	13	0	LM	Georgios Samaras	74
3	f343	14	0	LM	Ibrahima Traore	78
3	f343	15	0	ST	Gilberto	73
3	f343	16	0	ST	Jon Daly	64
3	f343	17	0	ST	Alan	73
4	f433	0	1	GK	Bernd Leno	81
4	f433	1	1	RB	Sascha Riether	77
4	f433	2	1	RCB	Winston Reid	77
4	f433	3	1	LCB	Antonio Carlos	73
4	f433	4	1	LB	Maxwell	79
4	f433	5	1	RCM	James Rodriguez	84
4	f433	6	1	CM	Francesco Totti	83
4	f433	7	1	LCM	Remy Cabella	78
4	f433	8	1	RW	Pedro Leon	80
4	f433	9	1	ST	Diego Costa	84
4	f433	10	1	LW	Neymar	85
4	f433	11	0	GK	Filip Kurto	69
4	f433	12	0	CB	Bondz N'Gala	64
4	f433	13	0	RM	Adnan Januzaj	64
4	f433	14	0	RM	Rurik Gislason	71
4	f433	15	0	ST	Facundo Ferreyra	73
4	f433	16	0	ST	Konstantinos Mitroglou	81
4	f433	17	0	ST	Pierre-Michel Lasogga	74
5	f3412	0	1	GK	Dudu Aouate	74
5	f3412	1	1	RCB	Philipp Lahm	88
5	f3412	2	1	CB	Maynor Figueroa	77
5	f3412	3	1	LCB	Martin Olsson	74
5	f3412	4	1	RM	Salomon Kalou	80
5	f3412	5	1	RCM	Graham Zusi	74
5	f3412	6	1	LCM	Gervinho	80
5	f3412	7	1	LM	Ezequiel Lavezzi	86
5	f3412	8	1	CAM	Toni Kroos	85
5	f3412	9	1	RS	Robin van Persie	90
5	f3412	10	1	LS	Alexis Sanchez	83
5	f3412	11	0	GK	Justo Villar	73
5	f3412	12	0	CB	Alaeddine Yahia	72
5	f3412	13	0	CM	Aron Gunnarsson	73
5	f3412	14	0	RM	Andros Townsend	73
5	f3412	15	0	ST	Nicklas Bendtner	77
5	f3412	16	0	ST	Ciaran Kilduff	64
5	f3412	17	0	LW	Kekuta Manneh	64
6	f3412	0	1	GK	David Ospina	77
6	f3412	1	1	RCB	Arribas	78
6	f3412	2	1	CB	Fallou Diagne	78
6	f3412	3	1	LCB	Pape Ndiaye Souare	73
6	f3412	4	1	RM	Luca Cigarini	80
6	f3412	5	1	RCM	Miralem Pjanic	80
6	f3412	6	1	LCM	Wesley Sneijder	85
6	f3412	7	1	LM	Eden Hazard	86
6	f3412	8	1	CAM	Mesut Ozil	88
6	f3412	9	1	RS	Giuseppe Rossi	82
6	f3412	10	1	LS	Zlatan Ibrahimovic	90
6	f3412	11	0	GK	Marco Bizot	71
