week	order	starter	pos	baseId	rating
1	0	1	GK	186569	80
1	1	1	RCB	123603	83
1	2	1	CB	170481	83
1	3	1	LCB	198076	80
1	4	1	RM	188567	81
1	5	1	RCM	186561	82
1	6	1	LCM	170890	82
1	7	1	LM	188350	86
1	8	1	RW	138334	74
1	9	1	ST	140384	80
1	10	1	LW	183483	78
1	11	0	GK	7939	74
1	12	0	CB	201049	64
1	13	0	LM	184484	78
1	14	0	CM	159080	73
1	15	0	CAM	213133	70
1	16	0	ST	192778	74
1	17	0	ST	114123	77
2	0	1	GK	164505	80
2	1	1	RCB	163631	84
2	2	1	CB	195086	81
2	3	1	LCB	197445	83
2	4	1	RM	189505	86
2	5	1	RCM	185000	79
2	6	1	LCM	197781	85
2	7	1	LM	193747	82
2	8	1	RW	153079	89
2	9	1	ST	142708	83
2	10	1	LW	187935	74
2	11	0	GK	101880	78
2	12	0	LB	187492	78
2	13	0	RM	145274	72
2	14	0	LM	203038	74
2	15	0	RW	182440	74
2	16	0	ST	31834	64
2	17	0	LW	207494	64
3	0	1	GK	165580	82
3	1	1	RCB	207865	80
3	2	1	CB	168609	82
3	3	1	LCB	193504	74
3	4	1	RM	189362	85
3	5	1	RCM	177326	83
3	6	1	LCM	137506	80
3	7	1	LM	168651	82
3	8	1	RW	192505	81
3	9	1	ST	188545	87
3	10	1	LW	164376	80
3	11	0	GK	3712	77
3	12	0	RB	201118	74
3	13	0	LM	137551	74
3	14	0	LM	183909	78
3	15	0	ST	203613	73
3	16	0	ST	2392	64
3	17	0	ST	188044	73
4	0	1	GK	192563	81
4	1	1	RB	111206	77
4	2	1	RCB	176285	77
4	3	1	LCB	152787	73
4	4	1	LB	53405	79
4	5	1	RCM	198710	84
4	6	1	CM	1238	83
4	7	1	LCM	193476	78
4	8	1	RW	175379	80
4	9	1	ST	179844	85
4	10	1	LW	190871	85
4	11	0	GK	193302	69
4	12	0	CB	194412	64
4	13	0	RM	208330	64
4	14	0	RM	173667	71
4	15	0	ST	213432	73
4	16	0	ST	183483	81
4	17	0	ST	198196	74
5	0	1	GK	17912	74
5	1	1	RCB	121939	88
5	2	1	CB	152830	77
5	3	1	LCB	184472	74
5	4	1	RM	158232	80
5	5	1	RCM	190557	74
5	6	1	LCM	170733	80
5	7	1	LM	159065	86
5	8	1	CAM	182521	85
5	9	1	RS	7826	90
5	10	1	LS	184941	83
5	11	0	GK	156092	73
5	12	0	CB	53027	72
5	13	0	CM	189167	73
5	14	0	RM	194932	74
5	15	0	ST	167706	77
5	16	0	ST	186614	64
5	17	0	LW	212807	64
6	0	1	GK	176550	77
6	1	1	RCB	197890	78
6	2	1	CB	194196	78
6	3	1	LCB	193475	73
6	4	1	RM	173146	80
6	5	1	RCM	180206	81
6	6	1	LCM	139869	85
6	7	1	LM	183277	89
6	8	1	CAM	176635	88
6	9	1	RS	162409	83
6	10	1	LS	41236	90
6	11	0	GK	200110	71
6	12	0	CB	185194	73
6	13	0	CAM	178703	71
6	14	0	RM	195365	74
6	15	0	CAM	192955	72
6	16	0	ST	208017	71
6	17	0	ST	190425	73
7	0	1	GK	16254	82
7	1	1	RCB	139997	81
7	2	1	CB	177509	85
7	3	1	LCB	190143	74
7	4	1	RM	105454	78
7	5	1	RCM	170797	83
7	6	1	LCM	193176	74
7	7	1	LM	183498	74
7	8	1	RW	170369	80
7	9	1	ST	176580	89
7	10	1	LW	188612	82
7	11	0	GK	182736	74
7	12	0	CB	51105	74
7	13	0	RM	183526	74
7	14	0	LW	208722	72
7	15	0	ST	200446	70
7	16	0	RW	184301	71
8	0	1	GK	139968	78
