type	assetId	name	resourceId	rating
ball	132	Server Ball	8120223	75
ball	1	Ball 1		75
ball	2	Ball 2		75
ball	3	Ball 3		75
ball	4	Ball 4		75
ball	5	Ball 5		75
ball	6	Ball 6		75
ball	7	Ball 7		75
ball	8	Ball 8		75
ball	9	Ball 9		75
ball	10	Ball 10		75
ball	11	Ball 11		75
ball	12	Ball 12		75
stadium	261	Server Park	6200057	75
stadium	1	Stadium 1		75
stadium	2	Stadium 2		75
stadium	3	Stadium 3		75
stadium	5	Stadium 5		75
stadium	10	Stadium 10		75
stadium	16	Stadium 16		75
stadium	20	Stadium 20		75
stadium	25	Stadium 25		75
stadium	30	Stadium 30		75
kit	14	Home Kit	6300511	75
kit	14	Away Kit	6300719	75
badge	101014	Server Badge	6000170	75
