id	team	nation	pos	rating	potential	pace	shooting	passing	dribbling	defending	physical	rare
158023	241	52	CF	94	97	92	89	84	96	44	69	1
20801	243	38	LW	92	92	93	90	79	91	48	86	1
156616	21	18	LM	90	89	91	78	82	93	47	55	1
167397	69	56	ST	90	89	78	86	61	81	54	89	1
41	241	45	CM	89	89	75	72	91	91	66	55	1
7826	11	34	ST	89	89	76	89	82	84	49	69	1
10535	241	45	CM	89	88	66	73	92	86	68	54	1
41236	73	46	ST	89	90	76	89	79	88	53	79	1
9014	21	34	RM	88	88	92	85	80	92	47	58	1
121944	21	21	CM	88	88	63	81	86	83	80	74	1
153079	10	52	ST	88	90	88	84	73	90	44	72	1
168542	10	45	LM	88	88	78	78	86	89	46	59	1
54050	11	14	CF	87	87	76	87	83	83	59	81	1
121939	21	21	CDM	87	87	79	57	84	81	82	66	1
140601	11	51	CB	87	85	53	41	58	51	86	90	1
164240	73	54	CB	87	88	80	61	73	71	87	83	1
173731	243	50	RM	87	91	93	84	82	84	74	74	1
176635	1	21	CAM	87	89	76	74	85	87	44	55	1
178088	5	45	CAM	87	88	78	76	83	87	45	64	1
179813	73	60	ST	87	89	83	84	66	80	56	84	1
1179	45	27	GK	86	82	90	78	66	80	46	90	1
5479	243	45	GK	86	86	89	80	67	90	65	81	1
7763	45	27	CM	86	84	58	76	91	82	67	52	1
20289	10	108	CM	86	86	77	74	80	79	83	84	1
138956	45	27	CB	86	84	77	54	66	58	86	82	1
139720	10	7	CB	86	87	73	57	74	72	86	80	1
143001	45	52	ST	86	86	81	85	77	84	56	72	1
150418	110374	21	ST	86	84	79	79	60	72	48	84	1
152729	241	45	CB	86	91	62	52	76	67	86	81	1
155862	243	45	CB	86	89	80	61	74	72	84	86	1
162895	241	45	CM	86	90	68	79	90	82	66	70	1
167495	21	21	GK	86	89	85	82	91	87	50	82	1
176580	9	60	ST	86	89	81	83	75	90	56	72	1
183898	243	52	RM	86	88	90	78	83	86	58	60	1
188545	22	37	ST	86	89	82	78	64	84	52	83	1
34079	5	14	LB	85	83	76	61	80	78	82	71	1
45197	243	45	CDM	85	85	55	75	88	70	81	66	1
48940	5	12	GK	85	85	85	82	74	85	45	83	1
146536	10	45	RM	85	83	91	71	79	86	43	57	1
146562	1	45	LM	85	84	78	77	85	86	50	62	1
159065	73	52	LW	85	83	88	77	74	88	49	60	1
165153	243	18	ST	85	87	84	82	71	82	46	76	1
177003	243	10	CM	85	88	76	76	86	86	69	61	1
178603	22	21	CB	85	88	65	58	75	68	86	85	1
181872	45	55	CM	85	88	79	77	82	82	82	71	1
183277	5	7	LM	85	90	87	79	83	88	48	62	1
188350	22	21	LM	85	88	91	86	80	86	47	60	1
189505	241	45	LW	85	88	84	74	80	85	51	57	1
189511	241	45	CDM	85	89	56	58	77	75	83	71	1
189596	21	21	RM	85	88	82	81	81	80	53	74	1
192318	21	21	CAM	85	92	82	72	80	90	51	62	1
9676	5	103	ST	84	82	91	81	69	86	50	75	1
