# resourceId	category	kind	amount	bronze	silver	gold	subtype
5001001	contract	Player	1	8	2	1	201
5001002	contract	Player	8	10	10	8	201
5001003	contract	Player	13	15	11	13	201
5001004	contract	Player	3	15	6	3	201
5001005	contract	Player	18	20	24	18	201
5001006	contract	Player	28	28	24	28	201
5001007	contract	Manager	1	8	2	1	202
5001008	contract	Manager	8	8	10	8	202
5001009	contract	Manager	13	11	11	13	202
5001010	contract	Manager	3	15	6	3	202
5001011	contract	Manager	18	18	24	18	202
5001012	contract	Manager	28	24	24	28	202
5001013	contract	Player	99	99	99	99	201
5002001	fitness	Player	20	0	0	0	219
5002002	fitness	Player	40	0	0	0	219
5002003	fitness	Player	60	0	0	0	219
5002004	fitness	Squad	10	0	0	0	220
5002005	fitness	Squad	20	0	0	0	220
5002006	fitness	Squad	30	0	0	0	220
5002007	healing	Head	1	0	0	0	211
5002008	healing	Head	2	0	0	0	211
5002009	healing	Head	5	0	0	0	211
5002010	healing	UpperBody	1	0	0	0	212
5002011	healing	UpperBody	2	0	0	0	212
5002012	healing	UpperBody	5	0	0	0	212
5002013	healing	Arm	1	0	0	0	213
5002014	healing	Arm	2	0	0	0	213
5002015	healing	Arm	5	0	0	0	213
5002019	healing	Knee	1	0	0	0	215
5002020	healing	Knee	2	0	0	0	215
5002021	healing	Knee	5	0	0	0	215
5002022	healing	Leg	1	0	0	0	216
5002023	healing	Leg	2	0	0	0	216
5002024	healing	Leg	5	0	0	0	216
5002025	healing	Foot	1	0	0	0	217
5002026	healing	Foot	2	0	0	0	217
5002027	healing	Foot	5	0	0	0	217
5002028	healing	All	1	0	0	0	218
5002029	healing	All	2	0	0	0	218
5002030	healing	All	4	0	0	0	218
5003001	gktraining	DIV	5	0	0	0	51
5003002	gktraining	DIV	10	0	0	0	51
5003003	gktraining	DIV	15	0	0	0	51
5003004	gktraining	HAN	5	0	0	0	52
5003005	gktraining	HAN	10	0	0	0	52
5003006	gktraining	HAN	15	0	0	0	52
5003007	gktraining	KIC	5	0	0	0	53
5003008	gktraining	KIC	10	0	0	0	53
5003009	gktraining	KIC	15	0	0	0	53
5003010	gktraining	SPD	5	0	0	0	54
5003011	gktraining	SPD	10	0	0	0	54
5003012	gktraining	SPD	15	0	0	0	54
5003013	gktraining	POS	5	0	0	0	55
5003014	gktraining	POS	10	0	0	0	55
5003015	gktraining	POS	15	0	0	0	55
5003016	gktraining	REF	5	0	0	0	56
5003017	gktraining	REF	10	0	0	0	56
5003018	gktraining	REF	15	0	0	0	56
5003019	gktraining	ALL	3	0	0	0	57
5003020	gktraining	ALL	6	0	0	0	57
5003021	gktraining	ALL	10	0	0	0	57
5003022	training	PAC	5	0	0	0	61
5003023	training	PAC	10	0	0	0	61
5003024	training	PAC	15	0	0	0	61
5003025	training	SHO	5	0	0	0	62
5003026	training	SHO	10	0	0	0	62
5003027	training	SHO	15	0	0	0	62
5003028	training	PAS	5	0	0	0	63
5003029	training	PAS	10	0	0	0	63
5003030	training	PAS	15	0	0	0	63
5003031	training	DRI	5	0	0	0	64
5003032	training	DRI	10	0	0	0	64
5003033	training	DRI	15	0	0	0	64
5003034	training	PHY	5	0	0	0	65
5003035	training	PHY	10	0	0	0	65
5003036	training	PHY	15	0	0	0	65
5003037	training	DEF	5	0	0	0	66
5003038	training	DEF	10	0	0	0	66
5003039	training	DEF	15	0	0	0	66
5003040	training	ALL	3	0	0	0	67
5003041	training	ALL	6	0	0	0	67
5003042	training	ALL	10	0	0	0	67
5003059	position	LWB>LB	0	0	0	0	91
5003060	position	LB>LWB	0	0	0	0	92
5003061	position	RWB>RB	0	0	0	0	93
5003062	position	RB>RWB	0	0	0	0	94
5003063	position	LM>LW	0	0	0	0	95
5003064	position	RM>RW	0	0	0	0	96
5003065	position	LW>LM	0	0	0	0	97
5003066	position	RW>RM	0	0	0	0	98
5003067	position	LW>LF	0	0	0	0	99
5003068	position	RW>RF	0	0	0	0	100
5003069	position	LF>LW	0	0	0	0	101
5003070	position	RF>RW	0	0	0	0	102
5003071	position	CM>CAM	0	0	0	0	103
5003072	position	CAM>CM	0	0	0	0	104
5003073	position	CDM>CM	0	0	0	0	105
5003074	position	CM>CDM	0	0	0	0	106
5003075	position	CAM>CF	0	0	0	0	107
5003076	position	CF>CAM	0	0	0	0	108
5003077	position	CF>ST	0	0	0	0	109
5003078	position	ST>CF	0	0	0	0	110
5003095	chemstyle	BASIC	0	0	0	0	250
5003096	chemstyle	SNIPER	1	0	0	0	251
5003097	chemstyle	FINISHER	2	0	0	0	252
5003098	chemstyle	DEADEYE	3	0	0	0	253
5003099	chemstyle	MARKSMAN	4	0	0	0	254
5003100	chemstyle	HAWK	5	0	0	0	255
5003101	chemstyle	ARTIST	6	0	0	0	256
5003102	chemstyle	ARCHITECT	7	0	0	0	257
5003103	chemstyle	POWERHOUSE	8	0	0	0	258
5003104	chemstyle	MAESTRO	9	0	0	0	259
5003105	chemstyle	ENGINE	10	0	0	0	260
5003106	chemstyle	SENTINEL	11	0	0	0	261
5003107	chemstyle	GUARDIAN	12	0	0	0	262
5003108	chemstyle	GLADIATOR	13	0	0	0	263
5003109	chemstyle	BACKBONE	14	0	0	0	264
5003110	chemstyle	ANCHOR	15	0	0	0	265
5003111	chemstyle	HUNTER	16	0	0	0	266
5003112	chemstyle	CATALYST	17	0	0	0	267
5003113	chemstyle	SHADOW	18	0	0	0	268
