type	assetId	name	resourceId	rating	rare	category	teamid
ball	23	BallName_23	8120091	74	0	1	0
ball	32	BallName_32	8120092	74	0	1	0
ball	37	BallName_37	8120093	74	0	1	0
ball	39	BallName_39	8120094	74	0	1	0
ball	40	BallName_40	8120095	74	0	1	0
ball	41	BallName_41	8120096	74	0	1	0
ball	46	BallName_46	8120097	74	0	1	0
ball	52	BallName_52	8120098	74	0	1	0
ball	67	BallName_67	8120099	74	0	1	0
ball	68	BallName_68	8120100	74	0	1	0
ball	53	BallName_53	8120101	74	0	1	0
ball	69	BallName_69	8120102	74	0	1	0
ball	56	BallName_56	8120103	74	0	1	0
ball	59	BallName_59	8120104	74	0	1	0
ball	61	BallName_61	8120105	74	0	1	0
ball	65	BallName_65	8120106	74	0	1	0
ball	31	BallName_31	8120107	74	0	1	0
ball	33	BallName_33	8120108	74	0	1	0
ball	34	BallName_34	8120109	74	0	1	0
ball	35	BallName_35	8120110	74	0	1	0
ball	36	BallName_36	8120111	74	0	1	0
ball	38	BallName_38	8120112	74	0	1	0
ball	42	BallName_42	8120113	74	0	1	0
ball	43	BallName_43	8120114	74	0	1	0
ball	44	BallName_44	8120115	74	0	1	0
ball	45	BallName_45	8120116	74	0	1	0
ball	47	BallName_47	8120117	74	0	1	0
ball	48	BallName_48	8120118	74	0	1	0
ball	49	BallName_49	8120119	74	0	1	0
ball	50	BallName_50	8120120	74	0	1	0
ball	51	BallName_51	8120121	74	0	1	0
ball	54	BallName_54	8120122	74	0	1	0
ball	55	BallName_55	8120123	74	0	1	0
ball	57	BallName_57	8120124	74	0	1	0
ball	72	BallName_72	8120125	74	0	1	0
ball	73	BallName_73	8120126	74	0	1	0
ball	58	BallName_58	8120127	74	0	1	0
ball	60	BallName_60	8120128	74	0	1	0
ball	62	BallName_62	8120129	74	0	1	0
ball	63	BallName_63	8120130	74	0	1	0
ball	64	BallName_64	8120131	74	0	1	0
ball	66	BallName_66	8120132	74	0	1	0
ball	74	BallName_74	8120133	74	0	1	0
ball	80	BallName_80	8120134	74	0	1	0
ball	81	BallName_81	8120135	74	0	1	0
ball	82	BallName_82	8120136	74	0	1	0
ball	83	BallName_83	8120137	74	0	1	0
ball	84	BallName_84	8120138	74	0	1	0
ball	85	BallName_85	8120139	74	0	1	0
ball	86	BallName_86	8120140	74	0	1	0
ball	87	BallName_87	8120141	74	0	1	0
ball	91	BallName_91	8120142	74	0	1	0
ball	88	BallName_88	8120143	74	0	1	0
ball	89	BallName_89	8120144	74	0	1	0
ball	90	BallName_90	8120145	74	0	1	0
stadium	1	Old Trafford	6200000	85	1	4	0
stadium	2	Santiago Bernabéu	6200001	85	1	4	0
stadium	4	Stade Gerland	6200002	85	0	4	0
stadium	5	San Siro	6200003	85	1	4	0
stadium	6	Camp Nou	6200004	85	1	4	0
stadium	9	Signal Iduna Park	6200005	85	0	4	0
stadium	10	Mestalla	6200006	85	0	4	0
stadium	13	Anfield	6200007	85	1	4	0
stadium	14	Parc des Princes	6200008	85	1	4	0
stadium	15	Amsterdam ArenA	6200009	85	1	4	0
stadium	26	Forest Park Stadium (Square Ground)	6200010	64	0	4	0
stadium	28	Stamford Bridge	6200011	85	1	4	0
stadium	29	Stade Velodrome	6200012	85	0	4	0
stadium	30	Veltins-Arena	6200013	85	1	4	0
stadium	32	Crown Lane	6200014	74	0	4	0
stadium	33	Euro Arena	6200015	64	0	4	0
stadium	34	Town Park	6200016	64	0	4	0
stadium	35	Euro Park	6200017	64	0	4	0
stadium	41	Imtech Arena	6200018	85	1	4	0
stadium	42	Estadio Vicente Calderon	6200019	85	0	4	0
stadium	100	St James' Park	6200020	85	1	4	0
stadium	104	Estadio Azteca	6200021	85	1	4	0
stadium	116	White Hart Lane	6200022	85	1	4	0
stadium	135	Olympiastadion	6200023	85	1	4	0
stadium	137	Allianz Arena	6200024	85	1	4	0
stadium	147	Stadion Europa	6200025	74	0	4	0
stadium	149	Stade Kokoto	6200026	74	0	4	0
stadium	153	Aloha Park	6200027	74	0	4	0
stadium	155	Wembley Stadium	6200028	85	1	4	0
stadium	156	Emirates Stadium	6200029	85	0	4	0
stadium	157	Stadio Olimpico	6200030	85	0	4	0
stadium	158	Estadio de las Artes (Generic Stadium NG)	6200031	64	1	4	0
stadium	174	Stadio Comunale (Olimpico Generico)	6200032	64	1	4	0
stadium	175	Arena del Centenario (Estadio del Pueblo)	6200033	64	0	4	0
stadium	176	Waldstadion (Fussballstadion)	6200034	74	1	4	0
stadium	177	La Canchita (El Reducto)	6200035	74	1	4	0
stadium	178	Stadion Neder	6200036	74	0	4	0
stadium	179	Stade Municipal	6200037	64	0	4	0
stadium	180	Ivy Lane	6200038	64	0	4	0
stadium	181	El Monumento (Estadio Latino)	6200039	64	0	4	0
stadium	182	Stadion 23. Maj	6200040	74	0	4	0
stadium	183	Estadio Nacional (El Medio)	6200041	74	0	4	0
stadium	192	El Libertador (La Bombastico)	6200042	64	0	4	0
stadium	193	Stadio Classico	6200043	64	1	4	0
stadium	194	Eastpoint Arena (Football Ground)	6200044	64	1	4	0
stadium	195	Stadion Olympik	6200045	64	0	4	0
stadium	196	Stadion Hanguk	6200046	64	0	4	0
stadium	197	O Dromo	6200047	74	1	4	0
stadium	212	Estadio Presidente G.Lopes	6200048	74	1	4	0
stadium	225	Akaaroa Stadium	6200049	74	1	4	0
stadium	228	Court Lane	6200050	74	0	4	0
stadium	229	Arena d'Oro	6200051	64	0	4	0
stadium	246	Etihad Stadium	6200052	85	1	4	0
stadium	247	Juventus Stadium	6200053	85	1	4	0
stadium	248	BC Place Stadium	6200054	85	1	4	0
stadium	249	Molton Road (Sheldon Stadium)	6200055	74	0	4	0
stadium	260	Donbass Arena	6200056	85	0	4	0
stadium	261	Sanderson Park (FIFA 13 NEW generic)	6200057	74	1	4	0
stadium	262	King Fahd International Stadium	6200058	85	0	4	0
stadium	264	La Bombonera	6200059	85	0	4	0
stadium	265	Goodison Park	6200060	85	0	4	0
kit	14	FC Barcelona	6300000	89	1	2	241
kit	14	FC Barcelona	6300001	89	0	2	241
kit	14	FC Barcelona	6300002	89	1	5	241
kit	14	Real Madrid	6300003	89	1	2	243
kit	14	Real Madrid	6300004	89	1	5	243
kit	14	Bayern München	6300005	88	1	2	21
kit	14	Bayern München	6300006	88	0	2	21
kit	14	Bayern München	6300007	88	1	5	21
kit	14	Manchester City	6300008	87	1	2	10
kit	14	Manchester City	6300009	87	0	2	10
kit	14	Manchester City	6300010	87	1	5	10
kit	14	Manchester United	6300011	87	1	2	11
kit	14	Manchester United	6300012	87	1	5	11
kit	14	Juventus	6300013	87	1	2	45
kit	14	Juventus	6300014	87	0	2	45
kit	14	Juventus	6300015	87	1	5	45
kit	14	Chelsea	6300016	86	1	2	5
kit	14	Chelsea	6300017	86	0	2	5
kit	14	Chelsea	6300018	86	1	5	5
kit	14	Borussia Dortmund	6300019	86	1	2	22
kit	14	Borussia Dortmund	6300020	86	0	2	22
kit	14	Borussia Dortmund	6300021	86	1	5	22
kit	14	Tottenham Hotspur	6300022	85	1	2	18
kit	14	Tottenham Hotspur	6300023	85	1	5	18
kit	14	Paris Saint-Germain	6300024	85	1	2	73
kit	14	Paris Saint-Germain	6300025	85	0	2	73
kit	14	Paris Saint-Germain	6300026	85	1	5	73
