id	team	nation	pos	rating	potential	pace	shooting	passing	dribbling	defending	physical	rare	strength	ballcontrol	shotpower	skillmoves	fkaccuracy
158023	241	52	CF	94	97	92	89	84	96	44	69	1	60	96	81	3	86
20801	243	38	LW	92	92	93	90	79	91	48	86	1	79	95	94	4	79
156616	21	18	LM	90	89	91	78	82	93	47	55	1	64	92	76	4	81
167397	69	56	ST	90	89	78	86	61	81	54	89	1	74	85	80	3	71
41	241	45	CM	89	89	75	72	91	91	66	55	1	59	94	65	3	65
7826	11	34	ST	89	89	76	89	82	84	49	69	1	72	88	90	3	81
10535	241	45	CM	89	88	66	73	92	86	68	54	1	60	93	67	2	87
41236	73	46	ST	89	90	76	89	79	88	53	79	1	93	90	93	4	80
9014	21	34	RM	88	88	92	85	80	92	47	58	1	65	89	86	3	84
121944	21	21	CM	88	88	63	81	86	83	80	74	1	76	86	86	2	78
153079	10	52	ST	88	90	88	84	73	90	44	72	1	70	90	86	3	72
168542	10	45	LM	88	88	78	78	86	89	46	59	1	53	91	76	3	77
54050	11	14	CF	87	87	76	87	83	83	59	81	1	85	86	91	2	79
121939	21	21	CDM	87	87	79	57	84	81	82	66	1	59	86	57	2	59
140601	11	51	CB	87	85	53	41	58	51	86	90	1	90	63	57	1	48
164240	73	54	CB	87	88	80	61	73	71	87	83	1	80	81	78	2	73
173731	243	50	RM	87	91	93	84	82	84	74	74	1	79	85	87	3	85
176635	1	21	CAM	87	89	76	74	85	87	44	55	1	56	91	69	3	79
178088	5	45	CAM	87	88	78	76	83	87	45	64	1	52	89	74	3	81
179813	73	60	ST	87	89	83	84	66	80	56	84	1	76	84	85	2	73
1179	45	27	GK	86	82	90	78	66	80	46	90	1	60	25	48	0	25
5479	243	45	GK	86	86	89	80	67	90	65	81	1	70	26	26	0	25
7763	45	27	CM	86	84	58	76	91	82	67	52	1	63	93	78	1	91
20289	10	108	CM	86	86	77	74	80	79	83	84	1	92	84	86	2	85
138956	45	27	CB	86	84	77	54	66	58	86	82	1	87	57	82	1	37
139720	10	7	CB	86	87	73	57	74	72	86	80	1	88	79	76	1	52
143001	45	52	ST	86	86	81	85	77	84	56	72	1	81	89	86	2	81
150418	110374	21	ST	86	84	79	79	60	72	48	84	1	88	77	85	1	37
152729	241	45	CB	86	91	62	52	76	67	86	81	1	84	76	53	1	43
155862	243	45	CB	86	89	80	61	74	72	84	86	1	80	82	71	2	62
162895	241	45	CM	86	90	68	79	90	82	66	70	1	64	89	77	2	81
167495	21	21	GK	86	89	85	82	91	87	50	82	1	78	31	42	0	25
176580	9	60	ST	86	89	81	83	75	90	56	72	1	76	89	84	3	84
183898	243	52	RM	86	88	90	78	83	86	58	60	1	64	85	88	3	70
188545	22	37	ST	86	89	82	78	64	84	52	83	1	81	86	81	3	66
34079	5	14	LB	85	83	76	61	80	78	82	71	1	69	77	77	2	49
45197	243	45	CDM	85	85	55	75	88	70	81	66	1	77	84	86	1	83
48940	5	12	GK	85	85	85	82	74	85	45	83	1	65	32	21	0	25
146536	10	45	RM	85	83	91	71	79	86	43	57	1	49	84	78	3	46
146562	1	45	LM	85	84	78	77	85	86	50	62	1	59	86	78	3	82
159065	73	52	LW	85	83	88	77	74	88	49	60	1	72	83	81	3	76
165153	243	18	ST	85	87	84	82	71	82	46	76	1	75	85	83	3	73
177003	243	10	CM	85	88	76	76	86	86	69	61	1	62	90	73	3	79
178603	22	21	CB	85	88	65	58	75	68	86	85	1	90	76	71	1	61
181872	45	55	CM	85	88	79	77	82	82	82	71	1	75	85	78	2	69
183277	5	7	LM	85	90	87	79	83	88	48	62	1	63	89	79	3	79
188350	22	21	LM	85	88	91	86	80	86	47	60	1	67	82	85	3	85
189505	241	45	LW	85	88	84	74	80	85	51	57	1	52	87	71	3	57
189511	241	45	CDM	85	89	56	58	77	75	83	71	1	78	84	61	2	68
189596	21	21	RM	85	88	82	81	81	80	53	74	1	68	83	81	2	60
192318	21	21	CAM	85	92	82	72	80	90	51	62	1	65	90	68	3	74
9676	5	103	ST	84	82	91	81	69	86	50	75	1	72	81	83	3	72
53302	52	27	CDM	84	85	69	75	81	78	83	84	1	84	82	82	1	72
120274	55	27	ST	84	80	85	86	80	87	45	60	1	60	90	76	2	86
121933	28	21	GK	84	85	86	81	76	86	46	83	1	66	30	35	0	25
136138	175	54	CAM	84	83	76	78	83	87	52	62	1	66	87	70	3	86
137186	45	27	CB	84	84	69	40	61	59	86	80	1	84	69	56	1	37
139668	46	27	GK	84	81	87	80	66	89	55	82	1	62	32	35	0	25
139869	325	34	CAM	84	85	72	77	87	83	61	51	1	61	87	86	2	85
142754	241	52	CB	84	84	68	60	74	66	85	70	1	74	81	76	1	50
143745	240	48	LM	84	88	74	75	84	88	49	70	1	68	89	74	3	64
146530	241	54	RB	84	84	90	72	81	83	79	72	1	71	85	88	3	74
146758	18	45	ST	84	82	78	82	64	78	53	81	1	76	80	84	2	64
148119	315	40	GK	84	85	85	81	83	86	56	79	1	67	22	24	0	25
148803	34	34	ST	84	84	71	82	61	71	49	82	1	78	76	84	2	64
158625	21	54	CB	84	84	68	59	76	70	84	81	1	83	78	77	2	60
159287	47	27	CDM	84	84	68	77	87	80	71	63	1	72	86	84	1	78
162835	44	44	GK	84	82	87	80	70	88	57	84	1	65	33	37	0	25
165239	10	18	LM	84	87	81	76	83	86	50	60	1	64	88	75	3	83
167664	48	52	ST	84	86	78	81	63	76	45	75	1	80	83	83	2	62
167948	18	18	GK	84	86	86	80	74	89	63	81	1	43	34	23	0	25
168435	73	27	GK	84	85	86	79	73	87	50	85	1	66	25	42	0	25
171877	48	43	CAM	84	86	76	80	83	82	68	74	1	70	85	77	2	72
173210	45	27	CM	84	88	79	78	83	83	76	68	1	72	85	76	3	69
177610	21	45	CB	84	86	57	62	76	72	84	82	1	87	76	75	2	51
179846	243	21	CDM	84	86	59	71	74	64	84	78	1	89	77	82	1	58
181820	10	15	ST	84	87	81	81	77	87	50	76	1	75	88	83	3	72
182521	21	21	CAM	84	88	57	83	85	83	62	56	1	68	87	88	2	83
186627	47	27	ST	84	90	84	82	67	85	48	75	1	86	88	86	3	76
186942	22	21	CM	84	87	82	73	84	87	74	62	1	74	86	76	3	74
189362	100769	54	RW	84	86	86	85	79	83	60	74	1	90	83	92	3	84
190871	241	54	LW	84	91	90	80	76	92	43	58	1	45	91	77	4	78
192119	240	7	GK	84	88	82	88	69	86	46	84	1	70	23	36	0	25
197781	243	45	CAM	84	88	80	73	81	88	46	61	1	59	89	73	2	74
2196	22	21	GK	83	83	83	84	60	85	38	86	1	75	25	44	0	25
7289	11	14	CB	83	79	58	43	66	60	84	78	1	81	66	59	1	27
11141	46	21	ST	83	82	75	75	62	75	46	86	1	74	80	79	1	51
13038	241	45	CB	83	83	64	48	64	55	85	80	1	80	55	48	2	64
13732	5	14	CB	83	83	42	47	58	50	84	83	1	84	61	61	1	31
13743	9	14	CM	83	83	67	84	86	77	73	75	1	82	82	95	2	80
20800	100769	38	LW	83	83	86	75	81	87	44	51	1	40	87	72	3	79
24630	48	45	GK	83	83	83	78	90	84	50	83	1	64	23	29	0	25
31432	325	108	ST	83	84	72	83	69	76	51	86	1	83	80	88	2	80
45574	28	34	CAM	83	82	60	81	84	82	52	58	1	63	83	81	3	82
106573	241	45	GK	83	83	82	78	77	83	60	90	1	71	27	29	0	25
106850	45	15	ST	83	79	80	81	79	85	48	76	1	75	89	80	2	75
113422	240	45	ST	83	83	77	85	74	85	47	71	1	68	86	82	3	78
120533	243	38	CB	83	83	74	48	60	58	82	80	1	83	57	63	1	47
139068	11	38	RM	83	82	84	80	79	88	43	52	1	63	84	85	4	74
146439	10	45	ST	83	83	72	82	62	78	51	82	1	88	83	88	2	71
146748	243	45	GK	83	84	81	86	76	79	34	83	1	75	23	27	0	25
150724	10	14	GK	83	83	85	76	79	87	56	81	1	61	20	25	0	25
157503	241	103	CDM	83	85	72	56	78	76	83	76	1	86	79	68	2	41
158133	34	59	RM	83	83	88	77	80	85	53	65	1	78	84	81	3	80
162347	69	38	CM	83	86	78	76	83	82	74	69	1	60	84	76	2	79
163631	7	14	LB	83	82	79	74	79	79	79	72	1	67	79	83	2	82
163705	219	18	GK	83	86	83	82	80	82	53	80	1	61	23	34	0	25
163925	189	27	CM	83	83	72	82	85	84	53	49	1	49	84	82	4	85
164994	22	37	RM	83	83	93	75	78	82	66	58	1	72	83	80	2	68
167905	11	57	RM	83	81	87	68	79	82	58	66	1	73	80	81	3	65
173771	22	37	RB	83	83	85	66	77	75	81	76	1	80	77	76	2	44
176676	243	54	LB	83	85	82	67	80	84	81	70	1	75	86	83	2	67
179844	240	45	ST	83	87	82	78	58	79	56	78	1	91	83	82	2	59
180403	5	54	RM	83	84	88	71	78	88	48	41	1	61	88	71	3	57
180432	46	54	CM	83	86	73	83	83	86	70	66	1	72	88	88	3	86
180930	10	8	ST	83	83	72	82	67	80	51	74	1	79	84	88	2	54
181783	21	10	ST	83	83	77	78	62	77	53	88	1	87	79	82	2	45
182493	240	60	CB	83	84	66	49	67	58	83	83	1	77	66	67	1	51
189358	11	163	LM	83	85	83	73	75	88	45	52	1	38	87	62	3	64
198710	69	56	CAM	83	89	79	79	82	85	55	66	1	73	85	79	3	83
1238	52	27	CF	82	81	51	85	88	84	47	52	1	78	91	87	2	80
1256	517	34	CM	82	82	64	80	86	84	60	62	1	62	84	80	4	86
21146	11	14	CM	82	80	60	71	84	75	75	70	1	64	82	78	1	75
23461	44	52	CB	82	80	55	41	58	44	87	76	1	81	57	68	1	41
28130	1035	54	CAM	82	81	54	77	86	87	44	60	1	74	91	75	4	87
30110	144	9	ST	82	82	66	81	82	82	43	80	1	73	87	84	3	65
45119	1	45	CDM	82	80	55	78	86	82	73	68	1	62	85	78	2	81
45186	110374	45	RW	82	79	76	74	84	87	42	51	1	60	85	74	2	75
48717	15	54	GK	82	82	83	77	67	86	39	82	1	66	33	35	0	25
49369	5	45	ST	82	82	77	82	70	82	48	75	1	75	84	84	2	68
52091	11	18	LB	82	80	78	51	78	76	80	78	1	76	75	74	2	51
112253	69	18	CDM	82	84	53	51	79	70	80	74	1	79	79	80	1	57
123603	44	52	CB	82	81	69	46	67	62	84	80	1	85	66	74	1	40
134979	10	52	CB	82	79	39	39	67	54	85	81	1	86	60	47	1	30
135377	517	54	GK	82	82	81	81	70	87	52	80	1	75	24	25	0	25
138449	47	54	CAM	82	83	70	80	79	84	42	50	1	60	90	65	3	68
142708	44	52	ST	82	79	77	79	62	80	45	80	1	75	81	75	1	69
142784	10	52	RB	82	82	74	56	74	73	83	77	1	79	79	66	2	77
152039	9	13	CB	82	81	67	65	69	64	81	79	1	77	73	86	1	72
152908	11	14	LM	82	79	88	76	75	85	44	46	1	48	80	76	3	77
152999	44	52	ST	82	82	85	81	77	84	44	72	1	61	87	74	2	76
