# itemType	cardsubtypeid	resourceId	rating	rare	attr	amount	posbonus	fieldpos	name
headCoach	5	2000001	80	1	0	15	0	0	I Griffith
headCoach	5	2000002	55	0	0	5	0	0	C Facett
headCoach	5	2000003	64	1	0	5	0	0	G  Pirola
headCoach	5	2000004	74	1	2	10	0	0	M Rowley
headCoach	5	2000005	55	0	2	5	0	0	J Siggins
headCoach	5	2000006	77	0	1	10	0	0	P Astin
headCoach	5	2000007	55	0	1	5	0	0	R Archibald
headCoach	5	2000008	74	1	0	10	0	0	P Pannu
headCoach	5	2000009	66	0	0	5	0	0	P Blencowe
headCoach	5	2000010	77	0	0	10	0	0	D Pan
headCoach	5	2000011	55	0	5	5	0	0	J Wang
headCoach	5	2000012	77	0	5	10	0	0	A Veysey
headCoach	5	2000013	77	0	2	10	0	0	P Yashin
headCoach	5	2000014	64	1	5	5	0	0	D Borrowski
headCoach	5	2000015	55	0	3	5	0	0	M Inglemarr
headCoach	5	2000016	66	0	3	5	0	0	S Andersson
headCoach	5	2000017	77	0	3	10	0	0	M Perrotti
headCoach	5	2000018	55	0	4	5	0	0	H Browse
headCoach	5	2000019	66	0	5	5	0	0	D Gelsbrecht
headCoach	5	2000020	80	1	2	15	0	0	S Bodak
headCoach	5	2000021	77	0	4	10	0	0	S Kitchen
headCoach	5	2000022	64	1	4	5	0	0	M Daish
headCoach	5	2000023	80	1	3	15	0	0	G  Ivancic
headCoach	5	2000024	74	1	3	10	0	0	C Smith
headCoach	5	2000025	64	1	3	5	0	0	C Santiago
headCoach	5	2000026	74	1	4	10	0	0	G  Wellings
headCoach	5	2000027	74	1	5	10	0	0	P Wadhams
headCoach	5	2000028	80	1	5	15	0	0	J Cerny
headCoach	5	2000030	64	1	1	5	0	0	L Lorn
headCoach	5	2000031	64	1	2	5	0	0	M Gustaffson
headCoach	5	2000032	66	0	4	5	0	0	H Ekstrom
headCoach	5	2000033	66	0	1	5	0	0	G  Hoffman
headCoach	5	2000034	80	1	1	15	0	0	D Barker
headCoach	5	2000035	66	0	2	5	0	0	D Doherty
headCoach	5	2000036	80	1	4	15	0	0	J Maxwell
headCoach	5	2000037	74	1	1	10	0	0	N Ustinov
gkCoach	6	9000001	74	1	5	10	0	0	M  Sakiani
gkCoach	6	9000002	77	0	4	10	0	0	S Spinkter
gkCoach	6	9000003	77	0	3	10	0	0	P Stockdale
gkCoach	6	9000004	77	0	2	10	0	0	N Garis
gkCoach	6	9000005	77	0	1	10	0	0	B Larsen
gkCoach	6	9000006	77	0	0	10	0	0	A Van Dijk
gkCoach	6	9000007	55	0	0	5	0	0	G  Yuen
gkCoach	6	9000008	77	0	5	10	0	0	D Tioseco
gkCoach	6	9000009	80	1	4	15	0	0	C Sawatsky
gkCoach	6	9000010	80	1	3	15	0	0	M  Ridlen
gkCoach	6	9000011	80	1	2	15	0	0	S Rempel
gkCoach	6	9000012	80	1	1	15	0	0	A Rolfe
gkCoach	6	9000013	80	1	0	15	0	0	T Reid
gkCoach	6	9000014	80	1	5	15	0	0	M  Leighton
gkCoach	6	9000015	55	0	2	5	0	0	E  Klammer
gkCoach	6	9000016	55	0	1	5	0	0	I Japuncic
gkCoach	6	9000017	55	0	5	5	0	0	D Goetzke
gkCoach	6	9000018	55	0	3	5	0	0	G  Voros
gkCoach	6	9000019	64	1	0	5	0	0	S Subramaniam
gkCoach	6	9000020	55	0	4	5	0	0	A Rodrigues
gkCoach	6	9000021	64	1	3	5	0	0	D Gustafo
gkCoach	6	9000022	64	1	4	5	0	0	W Fedranko
gkCoach	6	9000023	64	1	2	5	0	0	M  Dimpler
gkCoach	6	9000024	64	1	1	5	0	0	D Smith
gkCoach	6	9000026	64	1	5	5	0	0	J Tortorello
gkCoach	6	9000027	74	1	0	10	0	0	M  Perry
gkCoach	6	9000028	66	0	4	5	0	0	X  Parker
gkCoach	6	9000029	66	0	3	5	0	0	V  Neville
gkCoach	6	9000031	66	0	2	5	0	0	T Morrison
gkCoach	6	9000033	66	0	0	5	0	0	H Mittelstaedt
gkCoach	6	9000037	66	0	5	5	0	0	V  Pang
gkCoach	6	9000041	74	1	4	10	0	0	E  Kronner
gkCoach	6	9000042	74	1	3	10	0	0	D Bramall
gkCoach	6	9000043	66	0	1	5	0	0	M  Davis
gkCoach	6	9000044	74	1	2	10	0	0	M  Dittmar
gkCoach	6	9000045	74	1	1	10	0	0	D Holme
physio	7	4000001	55	0	5	5	0	0	S Gardner
physio	7	4000002	64	1	5	5	0	0	R Fletcher
physio	7	4000003	64	1	6	5	0	0	C Ramsey
physio	7	4000004	66	0	6	5	0	0	Y Tomas
