teamid	leagueid
1	13
2	13
3	14
4	14
5	13
7	13
8	14
9	13
10	13
11	13
12	14
13	13
14	14
15	14
17	13
18	13
19	13
21	19
22	19
23	19
25	19
28	19
29	20
31	20
32	19
33	20
34	19
36	19
38	19
39	31
44	31
45	31
46	31
47	31
48	31
50	31
52	31
54	31
55	31
57	17
58	16
59	16
62	16
64	17
65	16
66	16
68	17
69	16
70	16
71	16
72	16
73	16
74	16
77	50
78	50
80	50
81	50
82	50
83	50
86	76
88	14
89	14
91	14
94	14
95	14
97	14
106	13
109	13
110	60
111	111
121	60
127	60
142	14
143	61
144	13
159	20
160	20
162	20
165	20
166	19
169	19
171	19
175	19
181	50
189	31
190	32
191	80
192	31
200	32
203	32
206	31
209	80
210	17
212	17
217	16
219	16
224	17
226	16
229	4
231	4
232	4
234	308
236	308
237	308
239	4
240	53
241	53
242	54
243	53
244	54
245	10
246	10
247	10
254	80
256	80
260	54
269	1
271	1
272	1
278	76
280	76
294	17
298	41
299	41
300	41
301	66
305	65
306	65
312	67
315	67
319	56
320	56
321	56
322	189
325	76
346	14
357	61
361	60
373	61
378	17
379	16
383	76
393	76
417	41
418	41
420	66
422	65
423	65
432	56
433	56
434	189
445	65
448	53
449	53
450	53
452	53
453	54
457	53
459	54
461	53
462	53
463	54
467	54
468	53
471	54
472	54
477	54
479	53
480	53
481	53
483	53
485	19
503	20
506	20
517	7
550	20
563	65
567	7
568	7
569	7
570	32
571	54
573	53
598	7
605	350
607	350
614	16
620	50
631	50
647	10
650	10
665	308
670	4
673	4
674	4
682	4
687	39
688	39
689	39
691	39
693	39
694	39
695	39
696	39
697	39
698	39
700	56
702	56
710	56
711	56
744	308
780	80
819	1
820	1
834	65
837	65
838	65
873	66
874	66
894	189
896	189
897	189
898	189
900	189
919	41
920	41
922	41
974	78
980	83
981	83
982	83
983	83
1013	353
1028	341
1032	341
1035	7
1039	7
1041	7
1043	7
1048	7
1053	7
1318	78
1322	78
1325	78
1327	78
1330	78
1331	78
1334	78
1335	78
1337	78
1338	78
1343	78
1352	78
1353	78
1354	78
1355	78
1356	78
1357	78
1359	78
1361	78
1362	78
1363	78
1364	78
1365	78
1367	78
1369	78
1370	78
1375	78
1377	78
1386	78
1387	78
1395	78
1415	78
1439	56
1443	1
1445	1
1447	1
1456	41
1463	41
1465	41
1473	83
1474	83
1475	83
1476	83
1477	83
1478	83
1480	60
1516	1
1524	41
1530	17
1572	65
1598	7
1629	7
1715	189
1719	7
1738	17
1744	32
1746	32
1747	4
1750	4
1754	50
1755	41
1786	1
1788	1
1790	61
1792	13
1793	14
1794	60
1795	14
1796	14
1797	60
1798	60
1799	13
1800	60
1801	60
1802	60
1803	60
1804	60
1806	13
1807	14
1808	14
1809	16
1812	17
1813	17
1814	17
1815	17
1819	16
1820	17
1823	17
1824	19
1831	20
1832	20
1837	31
1838	32
1841	41
1842	31
1843	32
1844	31
1848	32
1853	53
1855	54
1860	53
1861	53
1862	189
1867	54
1870	56
1871	66
1873	66
1876	353
1877	353
1878	341
1879	341
1880	341
1881	341
1882	341
1884	76
1886	78
1887	308
1888	308
1889	308
1891	308
1892	308
1893	308
1896	308
1901	308
1902	10
1903	10
1904	10
1905	10
1906	10
1908	10
1909	10
1910	10
1913	10
